,SKU reference,Name,Material,Color,Diameter,Height,Finish,Shape,Weight,Clearance price,Technical drawing
196,007055-13,diff-l-qua-fi-marrone-45x45-h28,Glass,,"45,00 mm","28,00 mm",,rectangular,34 grs,,⬇ 24217
197,PTXL28270CC2XXSP,spray-pp-homologated-candle-d28,Plastic,plastic-blue,,"76,40 mm",,,34 grs,,
198,ZNCLD0225B11XXJW,pp-seal-pressure-cap-white-d225,Plastic,plastic-white,,,,,35 grs,,
199,ZNRLD0257G21XXGP,pressure-cap-seal-pp-black-pharma-d379,Plastic,plastic-black,,"11,10 mm",,,35 grs,,
200,007055-14,diff-l-qua-fi-marrone-56x56-h29,Glass,,"56,00 mm","29,00 mm",,rectangular,52 grs,,⬇ 24219
201,ZMCAPG206S11XXVL,metal-cap-aluminum-silver-d50,Plastic,plastic-silverish,,"15,30 mm",,,62 grs,,
202,DOCL38275B11XXMS,dispenser-pp-white-ring-d38,Plastic,plastic-white,,"175,00 mm",,,62 grs,,
203,ZNCLD0268B13XXJO,pressure-cap-seal-pp-white-d268,Plastic,plastic-white,,,,,66 grs,,
204,ZNCLD0290C23XXJO,seal-cap-d290-blue,Plastic,plastic-blue,"290,00 mm","15,00 mm",,,70 grs,,
205,ZNCLD0290B13XXJO,pressure-cap-seal-pp-white-d290,Plastic,plastic-white,,,,,70 grs,,
206,ZNCLD0326C23XXJO,seal-cap-d326-blue,Plastic,plastic-blue,"326,00 mm","14,40 mm",,,108 grs,,
207,ZNCLD0326B13XXJO,pressure-cap-seal-pp-white-d325,Plastic,plastic-white,,,,,108 grs,,
208,ZNCLD0344B13XXJO,pressure-cap-seal-pp-white-d340,Plastic,plastic-white,,,,,116 grs,,
209,ZNCLD0379B13XXJO,pressure-cap-seal-pp-white-d380,Plastic,plastic-white,,,,,152 grs,,
